Cancellation Date,contract_details,cancellationDate,12,
Contract Category,codes_contractcategory,categoryDescription,8,
Contract Description,contract_details,contractDescription,12,
Contract Key,contract_details,contractKey,12,
Contract Number,contract_details,contractNumber,12,
Contract Owner,dbo,getEmployeeFullName(contractOwner),,contractOwnerName
Contract Renewal Date,contract_details,endDate,,
Contract Start Date,contract_details,startDate,,
Contract Type,codes_contracttype,contractTypeDescription,9,
Contract Value,contract_details,contractValue,,
Review Date,contract_details,reviewDate,,
Review Period,contract_details,reviewPeriod,,
Cancellation Period,contract_details,noticePeriod,,
Schedule Number,contract_details,scheduleNumber,,
Supercedes Contract,contract_details,supercedeContract,,
Total Maintenance Value,contract_details,totalMaintenanceValue,,
Supplier Name,supplier_details,supplierName,1,
Address Line 1,supplier_addresses,addr_line1,"1,7",
Address Line 2,supplier_addresses,addr_Line2,"1,7",
Address Line 3,supplier_addresses,town,"1,7",
Address Line 4,supplier_addresses,county,"1,7",
Address Line 5,supplier_addresses,postcode,"1,7",
Product Code,productDetails,productCode,10,
Product Name,productDetails,productName,10,
Product Description,productDetails,description,10,
Installed Version,productDetails,installedVersionNumber,10,
Available Version,productDetails,availableVersionNumber,10,
Date Installed,productDetails,dateInstalled,10,
Total Licenced Copies,productDetails,NumLicencedCopies,,
Licence Key,productLicences,licenceKey,,
Licence Expires,productLicences,Expiry,,
Number Copies Held,productLicences,numberCopiesHeld,,
Renewal Type,licenceRenewalTypes,description,11,
Product Category,productCategories,Description,13,
Notify,dbo,getEmployeeFullName(notify),14,notify
Payment Date,contract_forecastdetails,paymentDate,,
Invoice Amount,contract_forecastdetails,forecastAmount,,
Comment,contract_forecastdetails,Comment,,
PO Number,contract_forecastdetails,poNumber,,
PO Start Date,contract_forecastdetails,poStartDate,,
PO Max Value,contract_forecastdetails,poMaxValue,,
PO Expiry Date,contract_forecastdetails,poExpiryDate,,
